Domain,Phylum,Class,Order,Family,Genus,Species,Abundance,Consortium,Date,Names,Freezer_Stock,Combined,Substrate,Freezer2
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aquamicrobium,NA,0.0023325,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,3.2072e-4,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_aeruginosa,0.00134119,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,NA,8.4553e-4,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,NA,0,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus_aureus,2.9156e-4,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium_sp.,0,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,NA,0,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_halodurans,0,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,NA,0,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Commensalibacter,NA,4.9566e-4,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,0,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,uncultured_bacterium,5.83e-5,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,0,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,NA,0.89250231,E209,2022-11-16,E209_Nov_16,NA,Rhodococcus,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_mendocina,0.02524261,E209,2022-11-16,E209_Nov_16,NA,Pseudomonas,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA,0.01239025,E209,2022-11-16,E209_Nov_16,NA,Brevundimonas,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Chelatococcus,NA,0.01045518,E209,2022-11-16,E209_Nov_16,NA,Chelatococcus,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,NA,0.03318507,E209,2022-11-16,E209_Nov_16,NA,Mesorhizobium,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,0.00860675,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA,0.00129968,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Pelagibacterium,NA,0.00453443,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aquamicrobium,NA,0.00727819,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,0.00196396,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_aeruginosa,0.00132856,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,NA,7.5092e-4,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,NA,0,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus_aureus,0,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium_sp.,0,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,NA,4.0434e-4,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_halodurans,0,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,NA,0,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Commensalibacter,NA,0,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,0,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,uncultured_bacterium,0,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,5.78e-5,E209,2022-11-16,E209_Nov_16,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,NA,0.79277677,E209,2022-11-21,E209_Nov_21,NA,Rhodococcus,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_mendocina,0.05615787,E209,2022-11-21,E209_Nov_21,NA,Pseudomonas,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA,0.05472143,E209,2022-11-21,E209_Nov_21,NA,Brevundimonas,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Chelatococcus,NA,0.02192277,E209,2022-11-21,E209_Nov_21,NA,Chelatococcus,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,NA,0.0381682,E209,2022-11-21,E209_Nov_21,NA,Mesorhizobium,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,0.02031533,E209,2022-11-21,E209_Nov_21,NA,Pseudomonas,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA,0.00253087,E209,2022-11-21,E209_Nov_21,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Pelagibacterium,NA,0.00246246,E209,2022-11-21,E209_Nov_21,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aquamicrobium,NA,0.00348849,E209,2022-11-21,E209_Nov_21,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,0.00475392,E209,2022-11-21,E209_Nov_21,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_aeruginosa,0.00136804,E209,2022-11-21,E209_Nov_21,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,NA,5.8142e-4,E209,2022-11-21,E209_Nov_21,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,NA,0,E209,2022-11-21,E209_Nov_21,NA,Other < 1%,TPA,Bioreactor
Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus_aureus,0,E209,2022-11-21,E209_Nov_21,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium_sp.,7.5242e-4,E209,2022-11-21,E209_Nov_21,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,NA,0,E209,2022-11-21,E209_Nov_21,NA,Other < 1%,TPA,Bioreactor
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_halodurans,0,E209,2022-11-21,E209_Nov_21,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,NA,0,E209,2022-11-21,E209_Nov_21,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Commensalibacter,NA,0,E209,2022-11-21,E209_Nov_21,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,0,E209,2022-11-21,E209_Nov_21,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,uncultured_bacterium,0,E209,2022-11-21,E209_Nov_21,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,0,E209,2022-11-21,E209_Nov_21,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,NA,0.78620573,E209,2022-11-25,E209_Nov_25,NA,Rhodococcus,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_mendocina,0.07205558,E209,2022-11-25,E209_Nov_25,NA,Pseudomonas,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA,0.02169124,E209,2022-11-25,E209_Nov_25,NA,Brevundimonas,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Chelatococcus,NA,0.03629893,E209,2022-11-25,E209_Nov_25,NA,Chelatococcus,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,NA,0.0464667,E209,2022-11-25,E209_Nov_25,NA,Mesorhizobium,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,0.0241654,E209,2022-11-25,E209_Nov_25,NA,Pseudomonas,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA,0.00389764,E209,2022-11-25,E209_Nov_25,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Pelagibacterium,NA,4.0671e-4,E209,2022-11-25,E209_Nov_25,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aquamicrobium,NA,0.00467717,E209,2022-11-25,E209_Nov_25,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,8.4731e-4,E209,2022-11-25,E209_Nov_25,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_aeruginosa,9.4899e-4,E209,2022-11-25,E209_Nov_25,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,NA,6.4396e-4,E209,2022-11-25,E209_Nov_25,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,NA,7.4564e-4,E209,2022-11-25,E209_Nov_25,NA,Other < 1%,TPA,Bioreactor
Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus_aureus,0,E209,2022-11-25,E209_Nov_25,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium_sp.,0,E209,2022-11-25,E209_Nov_25,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,NA,0,E209,2022-11-25,E209_Nov_25,NA,Other < 1%,TPA,Bioreactor
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_halodurans,8.1342e-4,E209,2022-11-25,E209_Nov_25,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,NA,0,E209,2022-11-25,E209_Nov_25,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Commensalibacter,NA,0,E209,2022-11-25,E209_Nov_25,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,1.3557e-4,E209,2022-11-25,E209_Nov_25,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,uncultured_bacterium,0,E209,2022-11-25,E209_Nov_25,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,0,E209,2022-11-25,E209_Nov_25,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_mendocina,0.103865808,E209_PET_20221206,NA,E209_PET_20221206,NA,Pseudomonas,DCPET,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,NA,0.582500185,E209_PET_20221206,NA,E209_PET_20221206,NA,Rhodococcus,DCPET,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,0.036843664,E209_PET_20221206,NA,E209_PET_20221206,NA,Pseudomonas,DCPET,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,NA,0.069317929,E209_PET_20221206,NA,E209_PET_20221206,NA,Paracoccus,DCPET,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,0.035066282,E209_PET_20221206,NA,E209_PET_20221206,NA,Stenotrophomonas,DCPET,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aquamicrobium,NA,0.065207732,E209_PET_20221206,NA,E209_PET_20221206,NA,Aquamicrobium,DCPET,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA,0.038287788,E209_PET_20221206,NA,E209_PET_20221206,NA,Brevundimonas,DCPET,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Chelatococcus,NA,0.025809079,E209_PET_20221206,NA,E209_PET_20221206,NA,Chelatococcus,DCPET,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_aeruginosa,0.001184922,E209_PET_20221206,NA,E209_PET_20221206,NA,Other < 1%,DCPET,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Pelagibacterium,NA,0.015144783,E209_PET_20221206,NA,E209_PET_20221206,NA,Pelagibacterium,DCPET,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA,0.019736355,E209_PET_20221206,NA,E209_PET_20221206,NA,Achromobacter,DCPET,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_sp.,1.48115e-4,E209_PET_20221206,NA,E209_PET_20221206,NA,Other < 1%,DCPET,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,NA,0.00155521,E209_PET_20221206,NA,E209_PET_20221206,NA,Other < 1%,DCPET,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,NA,0.004591572,E209_PET_20221206,NA,E209_PET_20221206,NA,Other < 1%,DCPET,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Commensalibacter,NA,0,E209_PET_20221206,NA,E209_PET_20221206,NA,Other < 1%,DCPET,Bioreactor
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA,0,E209_PET_20221206,NA,E209_PET_20221206,NA,Other < 1%,DCPET,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,7.03547e-4,E209_PET_20221206,NA,E209_PET_20221206,NA,Other < 1%,DCPET,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Bombella,NA,0,E209_PET_20221206,NA,E209_PET_20221206,NA,Other < 1%,DCPET,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,NA,0,E209_PET_20221206,NA,E209_PET_20221206,NA,Other < 1%,DCPET,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Castellaniella,NA,3.7e-5,E209_PET_20221206,NA,E209_PET_20221206,NA,Other < 1%,DCPET,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_mendocina,0.703398385,E209_PET_PYRO_20221206,NA,E209_PET_PYRO_20221206,NA,Pseudomonas,DCPPET + Pyrolysis,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,NA,0,E209_PET_PYRO_20221206,NA,E209_PET_PYRO_20221206,NA,Other < 1%,DCPPET + Pyrolysis,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,0.199495289,E209_PET_PYRO_20221206,NA,E209_PET_PYRO_20221206,NA,Pseudomonas,DCPPET + Pyrolysis,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,NA,0,E209_PET_PYRO_20221206,NA,E209_PET_PYRO_20221206,NA,Other < 1%,DCPPET + Pyrolysis,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,0.073654105,E209_PET_PYRO_20221206,NA,E209_PET_PYRO_20221206,NA,Stenotrophomonas,DCPPET + Pyrolysis,Bioreactor
